입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소,최종낙찰금액_num,낙찰율_num,연구주제,기관_상위
미래 예비군 제도를 대비한 예비군 개념 정립 연구,해군본부,,89.416,2018-08-14,사)국방정보통신협회,김두식,이슬,"서울특별시 서초구 강남대로6길11 선우빌딩 4,5층 (양재동)",102903576.0,88.858,21-해-CCTV 분석시스템 등 7종 구매설치,제3170부대
[24-육-84] 탄약부대 경계병력 민간전환 선결 연구,국방대학교,,,2017-05-05,하이펙 주식회사,신지웅,이도제,경기도 김포시 양촌읍 대곶남로580번길38-0,0.0,89.891,미래 육군의 우주분야 활용방안 연구 용역,제7군단
함정적기전력화를 위한 시운전제도 개선방안 연구,종합보급창,74078614.0,90.105,2021-03-22,주식회사백운,김우경,박점숙,"충청남도 계룡시 엄사면 번영로113-32, 107동 15층 1502호(계룡파라디아)",0.0,89.813,상호운용성 전문화교육체계 연구,제7821부대
K1A1전차 성능개량 사업분석,제2307부대,150427683.0,101.778,,사단법인 안보경영연구원,김민지,정원용,경기도 양주시 장흥면 권율로86-1 (그린숲타운)108동502호,,89.825,00지역 실내공기질 개선 연구용역,군
예비군훈련 원격교육 적용방안 연구,제7군단,,90.197,,한성대학교 산학협력단,장복철,정재훈,"경기도 성남시 수정구 복정로84번길 22-15,(B-001호) (복정동)",,89.328,국방사업관리 자격신설 연구,국군재정관리단
[24-육-227] 무선 데이터통신 운영환경 동적분석 장비,국군의무학교,164801161.0,,,한국표준인증기술연구원,최원창,김근우,서울특별시 영등포구 여의대방로43나길20-0 (신길동),3491384.0,96.238,상호운용성성공요인분석을 통한 평가업무발전방안연구,제5378부대
국내개발 항공기 성능개량 및 관리방안 연구용역,합동상호운용성기술센터,78179445.0,,2020-06-29,한국항공대학교 산학협력단,김태영,박은숙,"서울특별시 강남구 테헤란로64길13, 504호 (대치동, 선릉역 풍림아이원레몬)",0.0,,방산기술보호 성숙도 모델 인증제도 추진방안 연구,군
방위사업 국제공동연구개발 가이드라인 연구,공군군수사령부,,,,주식회사 일신이앤씨,김흥광,오세형,"서울특별시 구로구 디지털로242, 1605호(구로동, 한화비즈메트로1차)",6500735.0,88.785,ICT기반 입체영상 활용방안 연구 용역,39정찰비행단
해병대 산소분석기 4개 구매,국군수송사령부,180914682.0,89.804,2022-08-09,주식회사남동,김한희,신준호,경기도 안양시 동안구 흥안대로 516(관양동 1505-22),0.0,88.997,(226362-F)작전지속지원분석모델장비 도입(리스물건),중앙행정기관
(21F166-I)「스마트 물류」정책연구 용역,39정찰비행단,185309953.0,,,(재)한국해양전략연구소,최양열,성진숙,충청남도 홍성군 홍북읍 홍예로213-0 (엘에이치스타힐스) 121동 2201호,4309746.0,89.786,고출력레이저 위성추적체계 구축방안 연구,제7군단
